"INTERNAL_VALUE","DESCR"
-1,
1,AL
2,AK
3,American Samoa
4,AZ
5,AR
6,CA
7,CO
8,CT
9,DE
10,DC
11,Federated States of Micronesia
12,FL
13,GA
14,Guam
15,HI
16,ID
17,IL
18,IN
19,IA
20,KS
21,KY
22,LA
23,ME
24,Marshall Islands
25,MD
26,MA
27,MI
28,MN
29,MS
30,MO
31,MT
32,NE
33,NV
34,NH
35,NJ
36,NM
37,NY
38,NC
39,ND
40,Northern Mariana Islands
41,OH
42,OK
43,OR
44,Palau
45,PA
46,Puerto Rico
47,RI
48,SC
49,SD
50,TN
51,TX
52,UT
53,VT
54,Virgin Islands
55,VA
56,WA
57,WV
58,WI
59,WY
60,Armed Forces America
61,"Armed Forces Canada, Africa, Europe, Middle East"
62,PR
63,Foreign Country
80,Guantanamo Bay
81,China
82,Mexico
83,LM
84,"Curacao, NWI"
85,Europe
86,TA
87,Other Foreign
88,Africa
89,Asia
90,Canal Zone
91,Central America
92,Government Reservations
93,Dominion of Canada
94,South America
95,AE
96,South Sea Islands
97,West Indies
98,Columbia
99,Other Foreign
100,Other
101,Foreign Country
102,Foreign Country
103,Argentina
104,Scotland
105,Madeira Island
106,US Minor Islands
108,Ontario
110,Quebec
900,AF
901,Alberta
902,Armed Forces America
903,Armed Forces Pacific
904,Armed Forces Pacific
905,Belize
906,British Col
907,Canada
908,Cuba (also Curacao)
909,Czech Republic
910,US Govt (other than military)
911,FC
912,Lebanon
913,Madagascar
914,Manitoba
915,Mexico
916,New Brunswck
917,Newfoundland
918,NW Terr
919,Norway
920,Nova Scotia
921,Peru
922,Phillippines
923,Slovak Republic
924,Unknown
925,Venezuela
926,Yukon Terr
927,Australia
928,Nova Scotia
929,France
930,GE
931,Commonwealth of Australia
932,Republic of Cameroon
933,TT
934,AE
935,"APO,FPO"
936,HO
937,Yukon Terr
938,Venezuela
939,IT
940,HI
941,PH
942,Quebec
943,SA
944,Slovak Republic
945,Lebanon
946,Belize
947,UK
948,AK
949,FC
950,HI
951,AP
952,CB
953,CN
954,CR
957,HK
958,KE
959,NI
960,OT
962,PI
963,SL
964,SW
965,UN
966,WK
967,WZ
968,XC
969,XW
970,ZA
971,FI
972,"60"
973,"62"
974,N
975,S
976,RO
977,"58"
978,Prince Edwrd
979,QB
980,PR
981,"64"
982,WI
983,FL
984,UT
985,Unknown
986,
987,Armed Services
988,AL
989,AR
990,AS
991,AZ
992,CA
993,CO
994,CT
995,DC
996,DE
997,FC
998,GA
999,HI
1000,IA
1001,ID
1002,IL
1003,IN
1004,KS
1005,KY
1006,LA
1007,MA
1008,MD
1009,ME
